Name,TID,TID_Description,Deleted_TID,TID_Description_RS,TID_Description_WS,TID_Description_BLS,RSLevel,Icon,InitialBlueprints,Hide,HideSelection,DoNotAward,UnlockBlueprints,UnlockPrice,UnlockTime,SlotType,ActivationType,ActivationHydroOnBoard,ArtifactBoostPct,ActivationPrep,APTPIOTTP,APTPIOTTPRS,APTPIOTTPYS,DispatchActivTicks_WS,WSDispatchAOERange,WSDispatchAOEAmt,DisableActivationDuringPrep,ActivationPrepWS,ActivationPrepBS,WeaponEffectType,WeaponFx,NumProjectiles,NumProjectilesPerSOInSector,ClientActivationFx,ActivateFX,ActivateFXStaysInPlace,ActivationTargetFX,SustainedFX,SustainedFX_Enemy,ScaleEffectsWithZoom,UsesTillCooldown,ActivationDelay,ActivationDelayBLS,ActivationDelayWS,EffectRadius,EffectRadiusWS,EffectRadiusBS,MinEffectRadius,MinEffectRadiusWS,MinEffectRadiusBS,AOEDamage,AOEDamage_WS,AOEDamage_BS,AutoActivateHealth,PreventShieldDuringActivation,ApplyAOEDamageOnDestroy,EffectDurationx10,EffectDurationx10WS,EffectDurationx10BS,HydroUploadPct,ImpulseDuration,ImpulseSpeedup,ImpulseSpeedup_WS,ImpulseRange,ImpulseDPS_RS,ImpulseDPS_PVP,JobPayoutIncreasePercent,ExtraTradeSlots,WaypointShipmentRewardBonus,ExtraHydrogenStorage,MiningSpeedModifierPct_YS,MiningSpeedModifierPct_RS,MiningSpeedModifierPct_WS,MassMiningTotalAsteroids,HydroDeliveryBonusYS,HydroDeliveryBonusWS,IsStealth,ShieldStrengthPVE,ShieldStrengthPvP,MotionShieldPct,IsAlphaShield,IsAreaShield,IsAOEOnlyShield,ShieldRegenDelay,TimeToFullyRegen,SolitudeDPSBoost_RS,SolitudeDPSBoost_PVP,DPS,DPS_BS,DPS_WS,LinkDPSBoostPct,AdditionalRangesPerLink,LinkWeaponRange,MaxIncomingLinks,AddDPSPerTarget,AddDPSPerTarget_BLS,AddDPSPerTarget_WS,RampDPS0,RampDPS1,RampDPS2,RampDPS_BLS0,RampDPS_BLS1,RampDPS_BLS2,RampDPS_WS0,RampDPS_WS1,RampDPS_WS2,DPSRampTimes,DPSRampTimes_BLS,DPSRampTimes_WS,IsEMP,IsBarrier,IsTeleport,PullShips,DamageAmplifyFactor_PVE,DamageAmplifyFactor_PVP,MovementSlowdown,IsTaunt,FortifyDamageAmpFactor_RS,FortifyDamageAmpFactor_PVP,RSLESec,RepairHullPointsPerSecond,RepairHullPointsPerSecond_BLS,RepairHullPointsPerSecond_WS,IsSupress,SalvageAmountRS,SalvageAmountWS,SalvageAmountBLS,IsDestiny,LeapAOERange,LeapAOEAmtPvP,LeapAOEAmtPvE,MirrorDamageAsAOE,MirrorDamageAsAOE_BLS,MirrorDamageAsAOE_WS,MaxTargets,TradeBurstShipmentsStart,TradeBurstShipmentBonus,TeleportShipments,IncreaseSectorHydroPct,RushYSSpeedIncr,RushRSSpeedIncr,RushWSSpeedIncrPR,RushYSHydroDc,RushRSHydroDc,MaxRelicSpeedIncrease,CrunchYS,CrunchRS,CrunchWS,MaxNewAsteroids_PvE,MaxNewAsteroids_PvP,HydroPerNewAsteroid_RS,HydroPerNewAsteroid_WS,HydroPerNewAsteroid_YS,GenWSMods,OnBoardHydroMax,IsLockdown,SpawnedShip,SpawnedShipOffsets,SpawnLifetime,SpawnLifetime_WS,AllowedStarTypes,DroneDeliveryBonus,PreventUseOnWsJumpgate,FuelUseIncrease,TargetSwitchTicks,DeactivateOnJump,ReqEnemyShipsInSector,StopCountdownOnDisable,BSOnly,IsRecoil,ImmolationDamage,IndependentLaserRampUp,MineralExtractionPerMinuteFP,MineralStorage,PreviewLevel,AllowForWSEarlyAccess,AllowForBLSEarlyAccess,RSMoveCrossSectorCerbsAway,DroneHydro,ActivationHydro,ReqUniqueCargo,UCReqMinRSLevel,DNDiff,PvPOnlyTargetPlayers,TINDMG,TINDMG_WS,TINDMG_BS
,,,,,,,,,,,,,2500,12000000,864000,,,,,,,,,,,,,,,,,,,,,,,,,,,600,60,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,5000,12000000,864000,,,,,,,,,,,,,,,,,,,,,,,,,,,600,60,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,10000,12000000,1036800,,,,,,,,,,,,,,,,,,,,,,,,,,,600,60,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,25000,12000000,1209600,,,,,,,,,,,,,,,,,,,,,,,,,,,600,60,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,50000,12000000,1382400,,,,,,,,,,,,,,,,,,,,,,,,,,,600,60,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,100000,12000000,1728000,,,,,,,,,,,,,,,,,,,,,,,,,,,600,60,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RelicDrone,TID_RELIC_DRONE,TID_RELIC_DRONE_DESCR,,,,,7,Mod_RelicDrone_Icon,,,,,1,1000,86400,Trade,Activated,,,,,,,,,,,,,,,,,,,,,,,,,720,,,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,3600,3600,2,,1,,,,,,,,,,,,,1,,,,,,,,,,,
,,,,,,,,,,,,,4,2000,172800,,,,,,,,,,,,,,,,,,,,,,,,,,,720,,,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,15,3000,259200,,,,,,,,,,,,,,,,,,,,,,,,,,,720,,,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,30,5000,345600,,,,,,,,,,,,,,,,,,,,,,,,,,,720,,,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,60,10000,432000,,,,,,,,,,,,,,,,,,,,,,,,,,,720,,,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,120,20000,432000,,,,,,,,,,,,,,,,,,,,,,,,,,,720,,,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,300,40000,518400,,,,,,,,,,,,,,,,,,,,,,,,,,,720,,,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,600,60000,518400,,,,,,,,,,,,,,,,,,,,,,,,,,,720,,,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1200,100000,604800,,,,,,,,,,,,,,,,,,,,,,,,,,,720,,,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2500,250000,604800,,,,,,,,,,,,,,,,,,,,,,,,,,,720,,,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,5000,500000,604800,,,,,,,,,,,,,,,,,,,,,,,,,,,720,,,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,10000,1000000,1036800,,,,,,,,,,,,,,,,,,,,,,,,,,,720,,,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,25000,2000000,1209600,,,,,,,,,,,,,,,,,,,,,,,,,,,720,,,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,50000,10000000,1382400,,,,,,,,,,,,,,,,,,,,,,,,,,,720,,,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,100000,25000000,1728000,,,,,,,,,,,,,,,,,,,,,,,,,,,720,,,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,
FlagshipWeaponModule,TID_MODULE_FLAGSHIP_WEAPON,TID_MODULE_FLAGSHIP_WEAPON_DESCR,,,,,1,Mod_DroneDartLauncher_Icon,,1,,1,0,,,Support,Activated,,,,,,,,,,,,,,,,,,,,,,,,,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,300,288,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,288,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,288,,,,,,,,,,,,,,,,,,,,,,,,,,,
FlagshipShieldModule,TID_MODULE_FLAGSHIP_SHIELD,TID_MODULE_FLAGSHIP_SHIELD_DESCR,,,,,1,Mod_DroneAreaShield_Icon,,1,,1,0,,,Support,Activated,,,,,,,,,,,,,,,,,,,,,,,,,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,300,288,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,288,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,288,,,,,,,,,,,,,,,,,,,,,,,,,,,
FlagshipDartBarrage,TID_MODULE_FLAGSHIP_WEAPON,TID_MODULE_FLAGSHIP_WEAPON_DESCR,,,,,1,Mod_DroneDartLauncher_Icon,,1,,1,0,,,Weapon,Passive,,,,,,,,,,,,,projectile,FlagshipDartBarrage,,,,BomberLauncher_activate,,,,,1,,5,,,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FlagshipAreaShield,TID_MODULE_FLAGSHIP_SHIELD,TID_MODULE_FLAGSHIP_SHIELD_DESCR,,,,,1,Mod_DroneAreaShield_Icon,,1,,1,0,,,Shield,Activated,,,,,,,,,,,,,,,,,Shield_ChargeUp,,,,AreaShield_Sustained,AreaShieldEnemy_Sustained,,,300,,,1600,,,,,,,,,,,,3000,,,,,,,,,,,,,,,,,,,,,15000,15000,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,1900,,,,,,,,,,,,3000,,,,,,,,,,,,,,,,,,,,,25000,25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,2200,,,,,,,,,,,,3000,,,,,,,,,,,,,,,,,,,,,35000,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LaserTurret,TID_MODULE_LASER_TURRET,TID_MODULE_LASER_TURRET_DESCR,,,,,8,Mod_TurretLaser_Icon,,,,,1,1000,172800,Drone,Activated,,,,,,,,,,,,,,,,,,,,,,,,,300,60,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,30,108,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,4,2000,259200,,,,,,,,,,,,,,,,,,,,,,,,,,,300,60,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,108,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,15,3000,345600,,,,,,,,,,,,,,,,,,,,,,,,,,,300,60,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,108,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,30,5000,432000,,,,,,,,,,,,,,,,,,,,,,,,,,,300,60,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,108,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,60,10000,518400,,,,,,,,,,,,,,,,,,,,,,,,,,,300,60,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,108,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,120,20000,604800,,,,,,,,,,,,,,,,,,,,,,,,,,,300,60,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,108,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,300,40000,604800,,,,,,,,,,,,,,,,,,,,,,,,,,,300,60,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,108,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,600,60000,604800,,,,,,,,,,,,,,,,,,,,,,,,,,,300,60,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,108,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1200,100000,604800,,,,,,,,,,,,,,,,,,,,,,,,,,,300,60,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,108,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2500,250000,604800,,,,,,,,,,,,,,,,,,,,,,,,,,,300,60,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,108,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,5000,500000,864000,,,,,,,,,,,,,,,,,,,,,,,,,,,300,60,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,108,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,10000,1000000,1036800,,,,,,,,,,,,,,,,,,,,,,,,,,,300,60,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,108,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,25000,2000000,1209600,,,,,,,,,,,,,,,,,,,,,,,,,,,300,60,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,108,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,50000,10000000,1382400,,,,,,,,,,,,,,,,,,,,,,,,,,,300,60,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,108,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,100000,25000000,1728000,,,,,,,,,,,,,,,,,,,,,,,,,,,300,60,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,108,,,,,,,,,,,,,,,,,,,,,,,,,,,
LaserTurret_Laser,TID_MODULE_LASER_TURRET,TID_MODULE_LASER_TURRET_DESCR,,,,,1,Mod_TurretLaser_Icon,,1,,1,,,,Weapon,Passive,,,,,,,,,,,,,beam,,,,,,,,,,,,,,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,100,300,200,400,800,200,400,800,5!10,,12!24,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,100,400,200,440,880,200,440,880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,100,500,200,484,970,200,484,970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,100,600,200,532,1060,200,532,1060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,100,700,200,586,1160,200,586,1160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,100,800,200,644,1280,200,644,1280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,100,900,200,708,1400,200,708,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,100,1000,200,778,1500,200,778,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,100,1100,200,856,1700,200,856,1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
